gene	n
SMNDC1	2
SNX13	2
SP8	2
SPAST	2
SPEN	2
SPIN1	3
SPOP	3
SPPL3	2
SPTAN1	2
SRC	2
SRF	2
SRPK2	2
SRSF1	2
SRSF2	2
SRSF7	2
SSRP1	2
STAG1	2
STAT1	8
STAT3	3
STK38L	2
STXBP1	2
SUPT16H	3
SUPT5H	2
SUPT6H	2
SUV39H2	2
SUV420H1	4
SYNCRIP	2
TAOK1	3
TAOK2	2
TARDBP	2
TBL1XR1	4
TBR1	4
TCF7L2	3
TERT	2
TET1	3
TET3	2
TFAP2C	2
THOC1	4
TIAL1	2
TLE3	2
TM9SF3	2
TNIK	4
TNPO1	2
TNPO2	2
TNRC6A	2
TNRC6C	2
TOP1	3
TOP2A	2
TOP2B	4
TRA2B	3
TRIM24	2
TRIM33	2
TRIO	2
TRIP12	2
TRPC1	2
TRRAP	10
TUBB2B	2
TUBB4B	3
U2AF1	4
U2AF2	5
U2SURP	5
UBA2	3
UBE2D2	2
UBE2H	2
UBE2I	2
UBE2K	4
UBE2Q1	2
UBE3A	3
UBR4	3
UBR5	4
UBTF	5
UBXN7	2
UNC13A	4
UNC79	2
UPF1	2
USP22	2
USP24	3
USP34	6
USP7	4
VCL	2
VCP	4
WAPAL	2
WDFY3	2
WDR19	2
WDR26	2
WDR33	5
WDR5	3
WDTC1	3
WHSC1	2
WNK1	2
XPO1	8
XPO7	2
YPEL2	2
YWHAZ	3
YY1	2
ZBTB1	2
ZBTB18	2
ZBTB20	3
ZBTB26	2
ZBTB7A	3
ZCCHC11	3
ZFP91	2
ZMYM2	3
ZMYM4	3
ZMYND8	3
ZNF595	2
ZRANB2	2
ZSWIM8	5
